제목,내용,평점,좋아요 수
톰과 제리 맨하탄 가다!!,초등학생때 영어학원 다니면서 휴게실에 DVD가 있었는데 맨날 한글 더빙 버전만 보다가 혼나곤 했었지(코쓱),5.0,4
가려진 시간,아역들 연기 너무 인상적이다 특히 태식이는 인생 2회차 급인듯.,4.0,3
어댑테이션,솔직히 찰리 카우프만이 자기 인생 가져다 쓴거 맞는듯,4.0,6
아사코,오히려 의식하고 있을때 모르는 무의식이 있다.,3.5,16
가버나움,플로리다프로젝트가 아이의 순수함으로 바라본 그들의 성장환경이었다면 이 영화는 더욱 더 현실적이고 고통적인 성장환경을 직접 마주한다. 행복해라 자인ㅠㅠㅠ,4.5,16
누구나 아는 비밀,파르하디의 전작들과 달리 너무나도 극적인 요소들을 사용하여 오히려 파르하디의 색깔이 약해졌지만 대중성을 얻으려는 영화같다는 생각. 내면을 파고 드는 그의 색깔은 희미했으나 존재하긴 했다.,4.0,5
작가 미상,영화를 이끌어가는 큰 줄기가 약간 산만한 건 단점. 그럼에도 지루하지 않은 3시간의 러닝타임은 장점. 전반부 중반부에 비해 부족했던 뒷심은 좀 아쉬움.,4.0,8
클라이맥스,대환장파티,2.5,2
미래의 미라이,미래 라는 단어를 넣어서 시달소를 생각하는 사람들을 영화관으로 끌어보려는 생각인데 그런 사람들은 실망만 엄청하고 나올 성 싶다. 동생한테 사랑을 뺏겼다 생각하는 아이들을 위한 만화. 성우는 이게 최선이었나 싶다 어휴 애기가 찡찡대도 버거울텐데 20살 이상인 성인이 찡찡대는 목소리라니;;;,3.0,11
블레이즈,흔히 볼 수 있는 음악영화의 성격을 띄고 있지만 난 여전히 이런 영화가 좋다. 사랑하는 사람과 함께 보면 좋을 영화.,4.0,2
펭귄 하이웨이,상상력과 그걸 펼쳐나가는 나래는 참신한데 각본 자체에서 보이는 약간의 허점과 허술한 소재간의 세팅이 이야기 몰입을 방해한다. 단순 이상현상이라고 치부하기엔 너무나 많은 떡밥들이 그대로이지 않은가? 아니 그리고 별 의미없는 가슴컷 좀 그만 봤으면,2.5,28
마드무아젤: 위대한 유혹,"쫀생쫀사, 쫀심에 살고 쫀심에 죽는다.",3.5,6
행복한 라짜로,제 아무리 신이라도 시대를 잘못 타고나면 어쩔 수 없는 거야,4.5,17
피고인 돌로레스,살인사건을 다루면서 진범을 확정주지 않는 요망한 영화. 피고인과 그 가족들의 심리를 잘 다룬듯 하다.,3.5,1
쿠르스크,"누가 빈터베르크한테 돈맛 보여줬냐 나와라 CJ이냐???
망작은 아니나 빈터베르크 감독의 특색보단 많은 관객을 불러모으기 위한 이야기 같아 너무 아쉬운 작품.",3.5,10
이 모든 것들,"흠냐뤼,, 너무 기괴하당 헤헤... 벌레 싫어... 히히...",2.5,1
비밀 편지,결국에는 전해진 비밀편지. 전쟁 속 희생되는 가족들이 안타까울뿐.,3.0,1
선물,겉모습에 휘둘려 정체성을 숨기고 살아가는 아이가 자신의 정체성을 드러낼 때와 숨길 때의 간극이 인상적인 영화,4.0,1
연변소년,한국인이 흉내낸 조선족 영화가 아닌 실제 조선족의 영화를 처음봐서 그런가 뻔한 내용임에도 볼만했다,3.5,1
슈퍼 동자승,동자야~ 휘파람을 불어라~~~~ 동자야~~~ 삐삐삐 삐삐삐 삐삐삐삐 삐삐삐 삐삐삐 삐,3.5,1
걸,감독의 경험담인가 싶을 정도로 사건들의 진행과 그걸 둘러싼 감정들의 묘사의 깊이가 엄청나다. 배제나 과장이 없고  사건들이 작위적이지 않으며 성정체성에 혼란을 겪는 사춘기 학생의 내적 갈등 묘사와 사춘기의 시선에서 바라보는 호기심과 경계심으로 인한 외적 갈등 묘사 또한 탁월하다. 지를 땐 과감하게 질러버리는 감독의 과감함과 대담성 또한 빛을 발하는 영화.,5.0,19
벌새 프로젝트,캬 아이젠버그 연기는 볼때마다 취한다 진짜... 자칫 어렵고 이해하기 힘든 전문적인 요소가 가득한 소재였는데 재밌게 잘 풀어낸 영화. 이과 망해라.,4.5,5
선셋,한 인물의 팔로우와 어두운 톤앤 매너 핸드헬드와 스테디방식의 카메라만을 고집하며 호흡을 이어가는 영화. 너무 루즈한 스토리가 집중력을 흐트려놓았다. 롱테이크들과 백 팔로잉의 반복이 역효과인듯한 영화.,2.5,2
레토,영어가 아닌 음악영화는 처음이었는데 재밌었다. 만족스러움. 근데 없던일 빌런 시강 개웃겼음ㅋㅋㅋㅋㅋㅋㅋ,4.0,55
기억하니?,"낭만적이지 않지만 낭만적인 영화.
기억의 불완전함과 불안정함.
너무나도 감각적이고 아름다운 영화.",5.0,5
블랙 47,각시탈과 킬빌 두 작품의 캐릭터와 플롯을 환상적으로 결합시키고 군함도 멘탈리티를 장착시켜 훌륭한 독립운동 영화를 만들어냈다. 간만에 재밌는 줌인 줌아웃 영화를 봤다. 몰입도와 흡입력이 장난아닌 영화.,4.5,4
야생 배나무,2시간 자고 이 영화를 첫 영화로 고른 내 탓. 넘쳐나는 대사의 파도를 감당해내지 못했다.,2.0,1
낯선 여행,지금 만나러 갑니다 엄마시점인가 하는 생각도 들지만 혼란스러울 상황의 감정과 인간관계를 잘 다룬 영화.,4.0,0
치-타운,KBL팬에겐 익숙할 얼굴의 실화기반  다큐멘터리. 사익스의 일대기를 통해 보여지는 생존을 위한 그의 방법 그리고 총과 죽음의 허망한 관계를 보여준다.,3.5,1
돌연변이,엌ㅋㅋㅋㅋㅋㅋ엄청난 괴작이자너ㅋㅋㅋㅋㅋ 너무 직접적이고 다 보여주는 영화였지만 괜찮았다.,3.5,1
당신 곁에 잠들고 싶어요,"사랑에 대한 몰입, 유혹에 대한 책임, 믿음에 대한 결말.",4.0,2
사랑도 통역이 되나요?,화양연화의 영어 버전인듯한 느낌. 이 영화의 아슬아슬함은 선을 넘어서였을까 넘고자 해서였을까. 통역이 필요없는 둘의 관계에서 한글제목은 정말 너무 별로였다. 권태와 외로움의 닮은 점을 잘 풀어낸 영화.,4.0,2
남한산성,시시껄렁한 건달들의 주먹질보다 훨씬 맛깔나는 우리나라가 할 수 있는 정통사극구강액션. 말로 시작해서 말로 끝나는 영화가 이처럼 지루하지 않은 경우는 흔하지 않을것. 대사 하나하나에 긴장감이 흘러넘친다. 선과 악의 갈등보다 선과 선의 가치관 싸움이 주된 영화의 소재였던 점도 인상적이다.,4.5,7
서치,이런 영화가 국내 박스오피스 1위를 하며 많은 관객들의 관심을 받으며 흥행 한다는 것은 한국 영화계에 있어 큰 발딛음이 될것이라 생각한다. 최근 본 어떤 영화보다 기술적으로 실험적이지만 세련된 영화. 앞으로 이 영화를 오마주한 영화들 또한 등장할 것이다. 다분히 클리셰적인 각본을 처음 보는 영화로 만들다.,4.5,6
의형제,영화를 끌고 가는 힘이 스토리가 아닌 캐릭터인 영화. 영화의 큰 줄기는 그냥 군데군데 나오는 정도. 두 주연의 케미가 아니었으면 큰일났을듯.,3.5,2
플로리다 프로젝트,영화 내내 무니를 따라다니는 카메라를 통해 엿보는 홈리스 무니의 가족의 삶. 무니는 이 상황에서도 행복을 찾아 달린다. 아이의 자라는 환경에 대해서 꾸준히 생각하게 되는 영화. 정답은 없다.,4.0,2
시크릿 슈퍼스타,"이 영화가 과장이 심하다고요? 우리나라가 아닌 인도만의 얘기라고요? 당신은 꽤나 좋은 학창시절을 보내셨네요.
내 학창시절이 그대로 나와서 너무 당황하면서 본 영화인데 말이에요.
하나 다른 점이 있다면 주인공의 재능의 차이 정도겠네요.",4.5,3
잠자는 미녀의 한계,현재가 아무리 괴롭다해도 과거와 미래에 갇혀있을수야 없지 않은가.,3.5,1
금남의 집,설득이란 단어에 숨은 강요. 다름을 보여주기보단 틀림을 보여주는 영화가 아니었나싶다.,3.0,0
A/S/L,뒤져도 싸다,2.5,0
세상의 종말,여러개의 평행세계를 다루는 방법을 짧은 단편을 통해 나름 잘 풀어낸듯.,3.5,0
그녀의 욕조.,서랑인가 동경인가,3.0,0
서바이벌 가이드,불분명한 결말이 너무 아쉬움,3.5,0
밤의 문이 열린다,"""삶이란 게 그런거 같아요"". 라는 대사가 영화 전체를 꿰뚫는 듯 하다. 유령과 시간을 다루는 방식이 신선했다.",3.5,3
카메라를 멈추면 안 돼!,이번 부천 영화제에서 이 영화를 안 본다면 영화제에 오지 않은 것과 같다. 퐁!!!!!,5.0,8
헤어 울프,마지막빼고 좋았당.,3.5,0
사슴소년,환경이 사람을 만든다.,2.5,0
좀비공장,캐릭터들 개성이 너무 확실했지만 만화니까 뭐... 장편으로 여러 사건들을 더 넣어서 나와도 괜찮을꺼 같다.,4.0,1
죽어야 사는 남자,아니 거 남자 너무 불쌍한거 아니오...,3.5,0
노 라인,첫 씬을 보고 흔한 커플 로맨스인줄 알았는데 이런 액션일줄이야. 대사가 없어 과한 장면들이 좀 많았나싶다. 성별 반전도 새로웠다.,3.0,0
솧,부천초이스를 살린 작품. 이미경을 죽인건 한명이 아니었을수도,4.0,10
수혈,생명의 윤리관과 종교적 신념 사이에서의 갈등. 무엇이 우선시 되어야 하는가. 현시대에서 구시대적에 정해진 종교적 억압이 옳은가하는 것도 생각하게 하는 영화.,4.0,0
손이 많이 가는 미미,미미의 미연시 영화버전,3.0,0
부탁,처음엔 그저 바람이라고만 생각했다. 선입견이었나.,3.5,0
쏘 쏘리,진선규 연기 잘한다... 코미디와 공포의 조화를 노렸으나 좀 따로 놀지 않았나..,2.5,0
안나와 종말의 날,"하이스쿨뮤지컬에 좀비 끼얹기
+감독님이 영화에 허점이 많다는 걸 직접 말하다닠ㅋㅋㅋㅋㅋ",2.5,0
서러브레드,"참신한 영화전개 재미는 글쎄,,",3.0,0
댐드 유나이티드,사우스게이트가 잉글랜드를 4강에 올려논 기념으로 본 영화. 예술영화급의 스케일로 꽤나 큰 팀을 다루며 재미를 가져갔다. 작은 머니볼의 축구판. 리즈시절의 기원이 이 리즈라는 걸 아는 사람들은 생각보다 적다.,4.0,0
더 울프 오브 월 스트리트,결극 그의 말을 경청하고 그를 부러워하며 추종하는 마지막 관객들의 모습이 우리의 모습이지 않을까. 자낳괴를 신랄하게 비판하는 스콜세지 감독의 역작. 디카프리오의 연기가 영화의 재미를 한껏 불어넣어주었다. 3시간의 러닝타임이 결코 길게 느껴지지 않는 영화.,4.5,2
허스토리,그냥 그때 그 이야기를 듣는 거 만으로 눈물이 나더라. 고1때 수요집회에 가고 위안부 할머님들을 지원하는 단체에 찾아가 인터뷰를 한적이 있다. 그때 영상을 다시 찾아봐야겠다.,4.0,2
왈패,'박력'넘치는 '강력'한 액션. 눕는 '중력'까지 스펙타클 밀가루 액션.,3.0,0
미트,"아쉬움도 남고 질투도 나지만 복싱이 좋아서 남은걸 탓할수는,,",4.0,1
마트료시카,마지막이 아쉬웠다,3.0,0
오늘의 역사,산으로 산으로,3.0,0
전전날,"감독이 존나 ㄱㅅㄲ인데 좀 그렇다,,",3.5,1
해주세요,모든건 606으로부터,2.5,0
십자인대,여주인공을 어눌거리는 말투로 연출시킨 의도가 궁금하다.,3.0,2
미완성,이번 미쟝센은 이거다. 어떤 길이든 힘들지 않을 수는 없으니 좋아해서 선택했던 초심으로.,4.5,2
직무유기,원컷으로 가져오는 엄청난 몰입도.,3.5,1
친구,버스비를 내줄 때의 그 쾌감. 캐스팅이 정말 캐릭터와 찰떡이다.,4.0,9
꼬리,대비적인 요소들을 적절히 사용한 영화. 뭐 하나 허투루 하지 않은게 보인다.,4.0,0
가드올리고 BOUNCE!,햐 숭실대 영화 잘 만드네 ㄷㄷ 촬영에 반했다,3.5,1
시카리오: 데이 오브 솔다도,"2가 1에 비해서는 스토리 디테일이 허접하지만 이야기를 끌어가는 거에 있어서 크게 방해되는 요소가 아닌 동시에 1은 1에서 완벽히 마무리되는 내용이었다면 이제는 대놓고 시리즈를 기획하는 결말과 스토리전개를 가지고 있으면서도 시카리오 1에서 호평받았던 시카리오의 색깔을 그대로 장착시킨 영화다. 개인적으로 1에서는 스토리를 복잡하지만 완벽하게 가져가기 위한 장치로 인해 약간의 루즈함을 느낀 바, 2가 더 재밌었다.
+이사벨 레예스 역을 맡은 어린 아역의 발견.",4.0,2
오목소녀,웹드라마 한편 본거 같은 느낌,3.5,4
텔미비전,여친이 너무 보살,2.5,1
탠저린,뒷 이야기가 궁금하다.,3.0,2
찾을 수 없습니다,귀염뽀짝 영화에 한스푼 가미된 잊혀져가던 사건 하나. 더이상 찾을 수 없는 그때 이야기.,3.0,2
회전목마,"다큐인듯 아닌듯, 무난한듯 아닌듯",2.5,0
로얄 테넌바움,괴상한 해피엔딩. 문라이즈킹덤과 그랜드부다페스트에 비해 아쉬운 작품.,3.5,2
프린세스 다이어리,가볍게 볼만한 영화. 유치함과 진부함 투성이지만 그냥저냥 볼만하다.,3.5,2
레옹,"1. 영화가 정말 세련되고 잘 만들어진 것에 대한 이견은 없다.
2. 순수한 레옹은 남들을 죽이는 킬러의 일을, 타락한(환경에 의해 나쁜 조건들을 자연스레 습득한) 마틸다는 그런 킬러를 돕는 조력자와 아이 및 여인의 역할을 하며 서로에게 동화되어 간다.
3. 이 영화를 볼수록 영화 '롤리타'의 이미지가 자꾸 오버랩되어 나를 괴롭게 한다. 아무리 순수하다 해도 그가 그녀에게 사랑이라는 감정을 가진다는 것? 그를 정말 사랑한다며 그에게 있어 자신이 여인임을 주장하는 그녀? 금지된 사랑인 두 사람의 관계에서 아슬아슬 줄타기를 하는 감독의 연출. 이 영화는 롤리타처럼 봐야 할까? 아닐까? 이 영화는 로맨스영화일까? 액션영화일까? 가족영화일까? 다른 사람들은 이 둘의 사랑을 어떻게 보고 있을까. 그저 아이와 부성애를 느낀 아빠로? 아닐 것이라 생각한다. 그런 감정으로 이 영화를 보는 것이 옳은 것일까 하는 생각도 다시금 든다.
4. 하지만 감독이 뤽베송이다. 뤽베송 그의 행동은 용서받을 수 없다. 그런 그이기에 이런 그의 영화들의 가치도 떨어질 수밖에 없다.
5. 나탈리 포트만의 연기는 소름이 끼칠 정도로 완벽했다.
P.S. 모든 사람들이 명작이라 추앙하며 내가 보기에도 정말 기가 막힌 영화라는 것을 알겠으나 정이 가지 않는 영화들이 있다. 이 영화가 바로 그런 영화다.
P.P.S. 왓챠 댓글 중 조운지님의 댓글을 통해 또다른 시선(마틸다의 관점)으로 영화를 볼 수 있게 되었다. 영화를 보고 얘기를 나누는 것이 얼마나 중요한 요소인지 다시 한번 알게 된다.",4.0,3
지금 만나러 갑니다,"감정선 하나는 확실한 간만의 한국 정통 멜로. 약간 아쉬운 개연성과 너무한 뜬금포들, 불명확하고 눈물과 감동만을 앞세운 점도 아쉽다. 손예진과 소지섭이 살린 영화.",3.5,2
사브라,그 누구하나 내 편이 아닌 세상 속 나의 유일한 위안거리. 그 하나마저 앗아가는 순간 모아진 용기(분노)의 표출. 힙합이라는 장르적 특색을 서사와 주제에 잘 버무린 영화.,3.5,0
시스터 액트,"무모한 설정들과 뻔하디 뻔한 사건들, 애매하고 과장되게 섞인 슬랩스틱들의 향연. 그럼에도 박수 받을 수 있는 참신하고 대립적인 소재의 이용과 재미.",3.5,2
플라이 투 더 스카이,"영화 속에선 꿈과 직업 둘 모두 동등한 가치로 다루고자 하지만 결국 꿈에 더 집중한 나머지 소홀해진 '직업'이라는 단어의 동등한 가치. 당신도 모르는 새 영화와 굴삭기, 가죽과 굴삭기의 서열가치는 정해져 있었다.",3.0,3
데드풀 2,"2편보단 1편이 좀 낫네. 본편보다 재밌는 쿠키영상.
캐나다 만세!!! 오늘도 갓석희는 그저 빛인 부분.",4.0,4
왜 독립영화 감독들은 DVD를 주지 않는가?,연출과 편집이 톡톡 튀는 호흡이 재밌는 단편.,4.0,3
걸스온탑,그냥 옆에만 있어주면 돼,3.5,3
마블 원샷: 토르의 망치를 가지러 가던 길의 기묘한 사건,탈인간이지만 신이 되기엔 버거운 왕년의 팔카오 같은 당신은 도덕책..,3.5,1
4학년 보경이,그 상황에 잠이 오냐 보경아ㅠ,3.0,5
아직 끝나지 않았다,초반 말로만으로 사람들의 이목을 집중시키는 법정씬과 이후 영화의 끝까지 책임지는 배우들의 심리묘사가 한데 어우러져 좋은 영화를 만들어냈다.,4.0,5
24 프레임,영화를 공부하고 싶다면 이 영화를 봐라. 24개의 고정된 프레임마다 존재하는 각각의 영상은 비슷한 환경 속 다른 사건들을 다루며 관객의 머리 속에서 상상의 나래를 펼쳐 영상의 흥미를 만들어낸다. 자주 사용되는 캐릭터와 환경은 클리셰적으로 다가와 의도된 지루함까지 관객에게 선사한다. 그러다 보지 못했던 환경과 캐릭터의 프레임이 나오면 관객의 눈은 다시 똘망똘망 해진다. 그야말로 영화를 위해 태어난 영화인 느낌을 받았다. 가장 인상깊었던 프레임은 3과 24였건만 댓글에 그 두개의 프레임을 설명한 글이 있는 것을 보고 소름이 돋았다. 이것 또한 감독의 의도일수도 있음을.,5.0,2
이스마엘의 유령,끊임없이 대화가 옮겨가며 치닫는 혼돈 속 찾아오는 평화. 이리저리 튀는 내용은 그 혼돈을 폭증시킨다.,3.5,0
클레오 & 폴,"이 영화의 장르는 귀여움><
아이들의 시선을 따라가다 만나는 사회문제의 소재들도 재밌었다. 근데 전주 미쳤냐... 영화 중간에 조명을 키는 건 뭐냐 진짜",4.0,7
코베인,여러모로 잘못된 방식의 사랑. 사랑하기에 이렇게 하는 거라는 설명은 말도 안된다. 엔딩부분은 너무 깜짝 놀랐다. 다음 영화 시간 때문에 GV를 못 본 게 아쉽다.,3.5,0
앨라니스,아이의 환경이 걱정됨,1.5,2
시카리오: 암살자의 도시,정의? 용서? 배려? 그딴 건 없어. 너따위가 나한테 그런걸 바라는 건 사치지.,4.0,2
체실 비치에서,사랑에 서툴렀던 그 시대의 남녀 둘. 서로를 사랑했기에 서로를 이해하지 못한 둘. 옛날이라는 시대배경 속 깨달을 것이 있기를.,3.5,0
목욕탕 가는 길,이 섹션에서 그나마 볼만하지 않았나 싶다.,3.0,1
깊고 푸른 밤,각각의 단편으론 매력이 없기에 하나의 작품으로 묶은 것만 같은 느낌,1.5,1
미스터리 핑크,...?? 불친절한 영화에도 정도가 있지 않을까...,1.5,2
강낭콩 한살이,꽃피면 돌아온다는 스토리는 이미 한물간지 오래된 스토리가 아닌가,2.0,3
해피엔드,조금은 과한 듯한 롱테이크가 오히려 집중력을 흐트려버렸다,3.0,0
곳에 따라 비,그녀가 자전거를 주려는 순간 바로 느껴졌다. 그런 경험이 있기에 더 잘 느껴졌다. 죄많은소녀의 소재 중 하나와 비슷한 감정을 사용한 영화. 그래도 그녀는 그냥 대화할 상대가 필요했던 걸지도.,3.5,0
빛나는 물체 따라가기,우유는 소에서 짜낸 고름 이외에 아무것도 아니다,3.0,2
환불,단 하나만이라도 내가 원하는대로.,3.0,0
김희선,뻔한 소재 뻔한 전개이지만 그것들을 잘 엮는 것으로 평타는 먹었다. 이것도 못하는 사람들이 부지기수.,3.0,3
종말의 주행자,단편의 매력이 물씬 묻어나는 영화. 영화를 좋아하게 되고 찾아 보게 되었던 옛날의 나로 돌아가자.,4.5,3
착한 사람은 거짓말 하지 않는다,와 선생님 위선 존나 빡쳐서 명존쎄 제대로 하고 싶었다. 문제는 저런 교육관과 교육방식을 가진 선생이 꽤나 많을 것이라는 점이다.,4.0,1
히스테리아,주제를 은은하게 전달해주다 폭발적으로 바뀐다. 배우님들의 발군의 연기력이 이야기에 힘을 실어준다.,4.0,2
364일,빠르게 바뀌어야할 이 시대의 대표악습.,2.5,0
선화의 근황,동등한 가치를 추구하는 입장이지만 그래도 내가 살아야겠기에.,3.0,0
1520,장르물의 단점이자 장점. 재밌거나 좋은 장면을 찍어도 장르의 특수성에 의해 클리셰적이다 라는 소리를 듣게 된다.,2.5,0
인사3팀의 캡슐커피,"우리때가 아니기 위한 한걸음, 캡슐커피.",4.0,0
미나,이 세상 어느 경우에도 용서하기를 강요할 권리는 없다.,4.0,2
병훈의 하루,오늘 난 정말 잘 해냈어요. 그렇게 내일도 잘 해낼거에요. 난 이제 이겨낼 일만 남았어요.,3.5,4
레모네이드,자신의 상황을 이용해 최대한 이용해 쳐먹으려는 인간의 습성. 환경에 적응하고 변화되어가는 잔인한 현실.,3.5,2
연희동,롱타임노씨,3.5,2
시체들의 아침,내가 꾸던 꿈이 그렇게 흐려질 바에는 너에게 전해주리,4.0,73
컨테이너,이야기를 끌고가는 묵직하고 디테일한 연출력. 앞으로가 기대되는 젊은 감독님.,4.0,3
자유연기,저번 부산에 대자보가 있다면 이번 전주엔 이 영화가 있을 정도로 압도적이다. 안그래도 가장 좋은 단편 섹션에 방점을 찍어버린 영화. 어느새 주인공과 함께 울고 있는 나.,5.0,10
다영씨,감독님 앞으로도 계속 영화 해주세요. 고봉수 사단 화이팅,4.5,2
어른도감,찰떡같은 캐스팅과 연기 호흡. 탄탄한 각본과 깔끔한 연출의 만남. 이 영화를 보기 위해 소비한 내 시간은 최고의 시간.,4.5,11
위대한 쇼맨,역시 영화는 직접 보고 판단해야한다.,4.0,6
케이크메이커,그대의 흔적을 찾아 그대의 모든 것에 빠져 어느새 그는 그대가 되어 버렸네.,4.0,10
클로즈니스,영화 초반 산만한 전개와 꽤나 늦게 나온 중요 정보들과 사건들이 나를 영화에 집중하지 못하게 만들었다.,1.5,0
한강에게,현실반영잼 개오지는각,4.5,6
블라인드,사건과 사건의 연결점과 사건들의 축적으로 끌어가는 이야기의 힘이 너무 좋은 영화. 사건끼리의 상호작용은 좋으나 약간 허술한 각자의 사건들과 후반 캐릭터 밸붕이 아쉽다.,3.5,0
카오산 탱고,많이 아쉬운 연기와 공백. 자연스럽지도 못해서 아쉬웠다. 대비를 기대한 나로썬 힐링과 융화가 아쉬운 부분.,2.5,1
제멋대로 떨고 있어,현실을 영화로 옮겼다고 영화로 현실을 봐야되나요? 현실은 현실만으로 족하잖아요.,4.5,11
모르는 여자,기억상실증이 감기처럼 흔한 질병이라면,3.0,1
흰 집,아빠 고구마 백개였는데 그 아버지에 그 딸이네,2.5,0
동학농민펑크단,우어어ㅓ어어어ㅓ어ㅓㅓ어어ㅓㅓ워어ㅜ어어ㅓㅓ 전봉주우우우우우우우우운!!!!!,2.0,1
오래달리기,어떻게 전주에 올라온거죠...? 이유가 치장이라서라면 굉장히 실망입니다만...,0.5,2
리버스 에지,아직 성장이 채 끝나지 않은 감정들의 소용돌이 이후 비틀어진 방향성을 가지고 닫혀버린 그들의 감정 성장판 그리고 남은 상처,4.0,4
"세라비, 이것이 인생!",프랑스 코미디 영화는 항상 옳다. 사장님은 성불해야만 한다.,4.5,6
메이트,자기 보호를 위해 만들어 놓은 자신만의 틀을 어느 순간부터 깨고있던 아이러니.,4.0,16
5월 14일,이상희배우님의 영화를 끌고 가는 힘. 하루종일 치이고 힘들어하는 당신의 자존감을 올려주는 단 한마디의 기분좋은 말.,3.5,0
#cloud,아직 이런 실험영화를 받아들일 자신이 없어요...,0.5,0
난류,전혀 회수되지 못한 떡밥들... 내가 이해를 못한건가?,2.0,0
동아,큰 조명기나 비싼 카메라 없이 만들어낸 생각보다 괜찮았던 단편. 갑자기 마무리되는 듯한 결말은 약간의 아쉬움이 남는다.,3.5,0
밀라,밀라의 일대기 단순 나열 그 이상 이하도 아니다. 지루해서 힘들었다.,1.5,0
용길이네 곱창집,그냥 크게 재미있지도 재미없지도 않은 영화. 작품성으로는 개막작 치고 아쉬운 작품. 우리나라 역사를 다른 나라 속의 한국인의 시야에서 본 점은 새로웠다.,3.0,1
어벤져스: 인피니티 워,새로운 어벤져스 패러다임의 시작. 마블답지 않은 비극적 결말. 일시적이로 소모되지 않은 매력적인 빌런의 다음이야기가 기대된다.,4.5,7
코코,너무나도 뻔한 스토리지만 그 안에서 주는 울림은 무엇보다 강하다.,4.0,2
레디 플레이어 원,시대를 따라가는 스필버그의 놀라운 적응력에 리스펙. 과하디 과한 대사들과 진부의 결정체인 전개는 스튜핏. 그럼에도 끝까지 영화를 끌고가는 힘은 그뤠잇,3.5,6
팬텀 스레드,하 시바 이토록 짜릿한 싸이코패스 사랑 이야기라니. 펀치드렁크러브만 보고 PTA를 멀리한 나 자신을 반성한다. 무조건 다른 영화들 찾아보겠다.,5.0,3
리틀 포레스트,한국식으로 바꾸려고 많은 노력을 한 게 보이는 영화. 그럼에도 원작에 비해 아쉬운 점이 꽤나 보인다. 이 영화 역시도 힘 빼고 보면 좋은 영화.,3.5,2
추격자,동화따위 없는 끝까지 긴장을 늦추지 못하는 액션 스릴러. 나홍진이 항상 기대되는 이유. 정말 잘 만든 영화라는 생각밖엔...,4.0,4
리틀 포레스트 2: 겨울과 봄,아무 생각 없이 바라만 보고 있다 힐링이 된다면 당신은 영화를 잘 본 것입니다. 다큐와 극 영화 그 사이에 있는 따뜻한 영화.,4.0,1
디어 바스켓볼,코비의 편지를 애니메이션으로 바꿔 헌정한 단편.,3.5,2
월요일이 사라졌다,카렌의 아이를 키우기로 결정한 카렌. 초반부 약간 지루한 부분이 있지만 이후 액션신과 1인 7역의 다양함이 눈을 사로잡는다. 너무 예상하기 쉬웠던 배신자의 존재는어쩔수 없었겠지만 좀 아쉬운 부분.,4.0,0
너의 췌장을 먹고 싶어,"일본 감성 가득 머금은 하이틴 로맨스 드라마. 식상한 결말과 눈물짜내기 울음, 그 누구보다 수동적인 주인공은 답답함의 연속이다. 우연히 인기있는 여자아이와 친해진 아싸 히키코모리 남자주인공. 췌장이라는 소재와 그걸 풀어가는 이야기는 약간 참심했지만 너무 중구난방인 점도 아쉽다. 귀여운 남주와 여주의 꽁냥꽁냥한 대화는 나름 귀여웠다. 이렇게 아쉬운 점이 많은데 내가 평점은 4점을 주고 싶어한다니 좀 아이러니하지만 뭐라 형용할 수 없는 영화의 매력이 있는듯하다. 그것은 아마도 남주와 여주 그 둘의 성격에 각각 나를 대입해서 영화를 감상할 수 있기 때문인것 같다.
+손정빈기자님의 왓챠댓글",4.0,2
캐쉬백,불면증이 시간을 멈추는 능력으로 쓰일 줄이야. 호르몬 발달이 가장 활발할 중고등학교때 했을 법한 상상들로 영화를 가득 채우다. 카메라가 특히 아름다운 부분.,3.5,1
러빙 빈센트,그의 그림을 따라 훑어보는 그의 죽음과 삶. 그는 내가 알고 있던 그보다 덜 미친 사람이었다. 유화로 하나하나 작업해 완성시킨 점에서 고흐와 그의 그림을 좋아하고 존경하는 사람들이 많고 이 영화를 보는 관객들을 통해서 그를 추억하는 사람들이 많다는 것을 알게 된다.,4.5,4
아델라인 : 멈춰진 시간,영화를 보면서 공유 오빠 생각이 나더이다. 초반까지만 해도 재밌었는데 윌리엄 만나면서부터 급 식상해진 아쉬운 영화. 윌리엄을 만나기 전 '설마 그러겠어'만 5분 정도 되뇌었던 것 같다.,3.5,1
컴 투게더,광고 클라스 실화냐...,4.0,2
블랙 팬서,지금까지 본 마블 영화들 중에서 가장 별로인 것 같다. 왕 자리 차지하는 것도 결국 져놓고 치사하게 슈트로 이기고. 난 짱이야 -> 여러 생각 후 회의감 -> 밑바닥까지 간 다음에 깨달음 -> 이김. 친구 실수로 인해 처음으로 4D로 감상한 영화.,3.5,2
셰이프 오브 워터: 사랑의 모양,판타지로는 쉽게 식상해질 수 있는 소재들을 잘 버무려 전혀 새로운 작품을 탄생시키다. 영화에 나온 모든 떡밥들을 잘 마무리 해서 찝찝함이 전혀 없는 깔끔한 영화.,4.5,4
두사부일체,옛날엔 정말 조폭영화들이 많았던것 같다. 그 중에 가장 수작이라고 생각되는 조폭코미디. 스토리는 도학위룡보다 그마나 낫다.,3.5,1
도학위룡,주성치라서 살린 영화. 주성치만의 캐릭터는 확실히 보였지만 구식 마인드와 싸구려 연출이 너무 아쉽다.,3.0,0
