제목,내용,평점,좋아요 수
메갈로폴리스,"망작이든 괴작이든 1,600억원이라는 자신의 돈으로 제작하여 그 누구의 간섭도 받지않은 채 자유롭게 자기만의 영화를 찍을 수 있는 코폴라같은 감독이 또 나오기는 할까?",3.0,5
탈주,스토리 개연성을 포기한 감독을 위해 열심히 연기해 준 배우들의 호연에 박수를 보내 주고 싶다,2.5,8
더 스토닝,코란을 찢어 발기고 싶다,4.0,7
남자 이야기,남자로 살기 참 힘들다,2.0,5
나에게 오라,너무 과도하게 심각한 최민수와 너무 오바스러운 박상민 총체적으로 많이 아쉽다,3.0,7
히포포타무스,각설하고 어떻게 다시 살아난걸까? 말이 좀 되는 영화를 찍기를..,2.0,5
서바이벌리스트,입하나 줄이기가 이렇게 힘드네,2.0,4
움,유럽이고 프랑스니까 가능했던 영화..더 놀라운 사실은 2010년도에 만들어졌다는 사실..,3.5,7
더 문,그래비티보다 먼저 상영되었더라면 평가도 흥행도 달랐을 것,3.0,5
구룡성채: 무법지대,홍콩영화는 모든 액션이 무협,2.0,4
조커: 폴리 아 되,대중은 상업영화로서의 '조커2'를 원했는데 토드 필립스 감독은 예술영화를 만들어버렸네..,3.0,9
돈 무브,영화가 성의가 없네..,0.5,10
투스카니의 태양,인생을 튀는 공처럼 생기있게 산다면 최소한 후회는 없으리,3.5,10
파리로 가는 길,앤이 앤딩에서 초콜렛을 한 입 물며 띈 미소가 무슨 의미였을까?,3.5,6
더 그레이브스,이것 저것 가져다 섞어만든 삼류쓰레기 영화,0.5,3
언페이스풀,하필 경찰서 앞에서 신호대기하며 오픈결말이라니..,4.5,7
불륜녀 죽이기,이런 완벽한 아내의 내조라니,3.5,5
셔틀,반값 버스타려다 박스로 배달 기가막힌다,2.5,5
다크니스,아메리칸 두 여친들의 무모한 남미 여행이 더 공포스럽기만 하다,2.0,7
다운레인지,왜?냐고 묻지를 마라 감독하기 참 쉽다,1.0,4
오늘의 여자 주인공,주차장 씬은 히치콕을 연상케할만 했다,4.0,12
커브,여주도 빌런도 상황전개도 이해가 가질 않는다,2.5,3
나이트 티스,어정쩡한 세계관으로 뭘하려는지..,1.5,4
소년들,은폐하려던 이들은 아무도 처벌을 받지 않았다..이것이 진짜 실화,3.5,6
데드풀과 울버린,디즈니영화 동심을 버리고 상업화의 끝장을 보다,2.5,8
