제목,내용,평점,좋아요 수
어파이어,불모의 예술과 불능의 사랑으로 허우적대던 자를 폐허에서 소생시킨 한여름밤의 꿈.,4.0,260
어느 멋진 아침,"살며 사랑하며, 잃고 또 되돌아가서.",3.5,137
잠,믿고 싶은 것과 믿게 하고 싶은 것이 맞닿은 신기루에서 몽글거린다.,3.0,494
이노센트,아이들만의 순수한 악과 고유한 싸움.,3.0,85
한 남자,내가 아니어서 더욱 나다워지는 진실의 역설을 마주할 때면.,3.5,231
피아노 프리즘,"건반 위에 흐르는 마음의 이미지, 피아노가 있는 시대의 풍경.",3.0,73
볼코노고프 대위 탈출하다,용서받으려는 용기와 용서하지 않을 결기 사이의 수렁을 보며 아득해진다.,3.5,132
아만다,점프컷의 톡톡 튀는 매력.,3.0,80
강변의 무코리타,정성스럽고 소담스럽게 먹는 장면들에 생의 나날들이 담겼다.,3.0,114
오펜하이머,구조와 플롯 자체가 강력한 핵폭탄이다.,4.5,1301
보호자,예상대로 진행될 때도 그렇지 않을 때도 모두 당혹스럽다.,1.5,211
지옥만세,제목의 패기 대신 어정쩡한 뒷걸음질.,2.5,143
콘크리트 유토피아,이병헌의 최고 연기 중 하나가 아닐까.,3.0,733
퀴어 마이 프렌즈,친구의 삶을 오래도록 지켜본다는 것과 그걸 카메라에 담는다는 것 사이의 딜레마.,2.5,101
비공식작전,캐릭터에서 길어낸 유머와 상황에 맞는 액션이 능숙하게.,3.0,214
더 문,이야기가 다가와야 기술도 보인다.,2.0,400
다섯 번째 흉추,기발한 착상이 한 편의 장편영화가 되는 과정을 생각해본다.,2.5,93
밀수,복고적 판타지를 도드라지게 구현한 톤앤매너의 개성과 활력.,3.0,439
더 썬,"사랑과 믿음만으론 부족하니, 참으로 어려운 삶.",3.0,147
바비,컨셉트가 영화보다 크다.,2.5,1584
러브 라이프,격랑과 아이러니를 넣기 위해 인위적으로 꼬고 또 꼰다.,2.5,101
미션 임파서블: 데드 레코닝 PART ONE,예상하지 못한 액션은 거의 없지만 단계마다 그렇게 끝까지 밀어붙이는 액션도 거의 없을 것이다.,4.0,530
비밀의 언덕,내 마음을 들여다보기와 남의 마음을 헤아려보기 사이에서 성장이란.,3.0,169
보 이즈 어프레이드,"""나의 삶은 태어남에 대한 망설임.""(프란츠 카프카)",4.0,775
엔니오: 더 마에스트로,영화에 영혼이 깃들어 영원이 된 순간들.,3.5,193
어디로 가고 싶으신가요,감정과 사건 사이를 오가는 희미하고도 무력한 발자국들.,2.5,78
애스터로이드 시티,의미를 몰라도 그 삶을 잘 살아낼 수 있다는 것. 믿지 않아도 그 세계에 소중한 것을 모셔둘 수 있다는 것.,4.5,888
인디아나 존스: 운명의 다이얼,어드벤처 무비 고유의 활력과 흥분 대신 향수와 예우.,3.0,211
스파이더맨: 어크로스 더 유니버스,시각적으로나 이야기로나 멀티버스의 잠재력은 이렇게 쓰는 거야.,4.0,1279
"믿거나 말거나, 진짜야",늙지 않는 몸의 저주에 대한 독하고 별난 농담들.,3.0,85
너의 눈을 들여다보면,날개를 접고 내려앉은 시간의 풍경이 주는 위로. 물러나는 세계에서 물러서지 않는 사람의 기품.,4.0,278
플래시,질주의 환상적인 쾌감과 반추의 애상적인 정감.,3.5,345
엘리멘탈,개념의 시각화와 공간적 상상력에서 창의성이 빛난다.,3.5,1066
말없는 소녀,침묵과 여백 속에 환한 둥지를 틀어서 마침내 먼 밤바다의 불빛이 된 그때.,4.0,231
범죄도시3,기회가 생길 때마다 1점씩 또박또박 따내는 코미디.,3.0,558
드림팰리스,그저 몸 하나 편히 누일 공간을 꿈꿨을 뿐인데 이다지도.,3.0,113
카일리 블루스,아직 당도하지 못한 공간에서 이제 되돌릴 수 없는 시간의 파편들을 깁는 법.,4.0,135
스프린터,해가 지기 시작하는 경기장에서는 모든 선수들의 그림자가 길다.,3.5,171
인어공주,오리지널의 명장면들을 화려하게 재현한 뒤 뭍에 오르고부터는 내내 창백하게 늘어진다.,2.0,708
슬픔의 삼각형,잣대들 사이에도 갈등과 위계가 있기에 뒤집혀도 결국 슬퍼진다는 그 삼각형들.,3.5,509
말이야 바른 말이지,동상이몽의 어두운 풍경들 속에 속사포 같은 재치가 담겼다.,3.0,82
토리와 로키타,닫힌 문 밖의 어둠에 서린 스릴을 동력 삼아 더욱 통절하게 나아간 다르덴.,4.0,134
칠중주: 홍콩 이야기,추억에 젖는 사람에게서 느껴지는 그 선량한 무력감.,3.0,93
가디언즈 오브 갤럭시: Volume 3,픽사의 뛰어난 작품들에서나 발견할 수 있을 것 같은 애절한 순정을 마블에서 만나게 되다니.,3.5,1587
클로즈,상실의 사건을 성장의 계기로 쉽게 소비하지 않는다.,3.5,231
리턴 투 서울,"서로 다른 세계와 시간이 쓸리는 접점, 혹은 거기서 일어나는 불꽃과 파편에 대하여.",3.5,117
드림,영화 자체가 전하지 못하는 것들을 경기 해설자가 일일이 다 말해준다.,2.0,523
슈퍼 마리오 브라더스,서비스가 연출의 유일한 목표가 될 때 벌어지는 일들.,2.5,381
무명,윤기 흐르는 시각 스타일과 서성거리는 플롯.,3.0,102
라이스보이 슬립스,그 고단한 세월이 못내 아리다.,3.0,121
존 윅 4,자신이 뭘 하고 있는지 명확히 아는 사람들이 또박또박 구현해낸 액션 장르의 진경.,4.0,799
물안에서,파격적인 실험이 일깨워주는 것들과 덮어버린 것들.,3.0,111
사랑의 고고학,그게 무엇이었는지 세월의 바닥까지 곱씹어야 일어설 수 있는 사람의 우물을 천천히 들여다보았다.,3.0,105
리바운드,"실화의 감동, 그런데 그 팀은 어떻게 그런 성과를 낼 수 있었다는 걸까.",2.5,454
오토라는 남자,비극적 설정으로부터 훈훈한 유머와 힘이 되는 이야기를 계속 능숙하게 길어낸다.,3.5,249
흐르다,매우 사실적인 디테일들이 극중 공간에 단단히 밀착되어 있다.,3.0,90
길복순,"제대로 작동하지 않는 그 아이러니한 세계, 온전히 배어들지 못한 그 쿨한 스타일.",2.0,471
파벨만스,시선이 없다면 사건도 없다.,5.0,1255
모나리자와 블러드 문,알록달록 펑키한 뉴올리언스 밤나들이.,3.0,153
이니셰린의 밴시,의미없음을 견뎌내지 못하는 자와 이유없음을 떨쳐내지 못하는 자가 서로의 손목을 문 채 시간의 수렁에서.,4.5,761
어떤 영웅,어떤 일이 닥쳐도 윤리의 하한선만큼은 기필코 지켜내는 사람의 고결한 영웅담.,4.0,171
소울메이트,원작 영화의 강력한 자장 안에서 힘겹게 움직인다.,2.5,125
보스턴 교살자,물러서지 않고 또박또박 전진하는 영화가 도달한 서늘한 진실.,3.5,134
스즈메의 문단속,작품 전체가 길고 간절하게 수행하는 의례처럼 다가온다.,3.0,592
똑똑똑,지난한 설득의 질긴 시도와 조마조마한 과정 자체가 구원이다.,3.5,195
6번 칸,혹한보다 더 혹독한 외로움이 해내는 일들.,3.5,183
더 웨일,흥건한 연민의 웅덩이에서도 제대로 숨쉬는 배우들.,3.0,342
TAR 타르,얼음장 속의 불덩이 같은 영화와 100%의 블란쳇.,4.5,419
다음 소희,다 보고 나면 더이상 적절할 수 없는 제목이 아프게 파고 든다.,3.0,548
"안녕, 소중한 사람",경첩이 삐걱대는 낡은 문 앞에 힘겹게 선 나를 떠올린다.,3.0,93
성스러운 거미,확신하는 악이야말로 가장 소름 끼친다.,3.5,207
궁지에 몰린 쥐는 치즈 꿈을 꾼다,덜 사랑하는 사람이 권력자라는 오랜 격언.,2.5,141
애프터썬,"""보지 못한 것을 어떻게 보여줄 것인가""에 대한 독창적인 대답들.",5.0,1326
바빌론,"영화에 대해 절절히 고백하는 장대한 서사시, 고귀해서가 아니라 너라서 사랑해.",4.0,1960
라인,마침내 엄마와 딸이 함께 담기면 긴장감으로 프레임이 터질 것만 같다.,3.5,108
교섭,논쟁적 소재를 끌어들이면서도 애써 논란을 배제하려 한다면 왜 그 이야기를 택한 걸까.,2.5,836
유랑의 달,어둡고 황폐한 구석을 예민하게 응시하는 카메라.,3.0,132
해시태그 시그네,"데페이즈망과 데포르마숑, 현대미술 개념들로 축조한  병리학 코미디.",3.5,127
나는 마을 방과후 교사입니다,거기서 흐르는지도 몰랐던 땀과 눈물을 안타까움으로 보았다.,3.0,79
3000년의 기다림,불신과 맹신을 차례로 지나 마침내 이야기와 삶이 공존하는 풍경의 평화.,3.5,311
더 퍼스트 슬램덩크,숨죽이게 하고 환호하게 하며 뜨거운 마음으로 돌아가게 한다.,3.5,1068
메모리아,소리를 희구하는 심상과 언어가 미끄러지면서 일으킨 신비한 공명.,4.5,215
크레이지 컴페티션,허명을 향한 욕망과 위선의 궤적을 들여다보는 만화경.,3.5,118
가가린,진창에서 별을 올려다본다는 것은.,3.5,157
영웅,눈물도 웃음도 넘쳐흐른다.,2.5,205
코르사주,연민의 대상이었던 역사 속 인물에게 코르사주를 벗겨내고 선사하는 자유.,3.0,83
아바타: 물의 길,물에 관한 시각효과와 액션의 모든 것.,3.5,783
나나,감아올리면 악몽이 되고 풀어내리면 귓속말이 되는 비밀의 어둑한 바닥.,3.0,87
더 메뉴,12명의 손님 앞에서 계급론과 예술론으로 화려하게 뒤집어 차린 최후의 만찬.,3.5,367
화이트 노이즈,죽음의 공포 앞에서 문명은 어떻게 거짓희망과 슈퍼마켓을 만들어냈나.,3.5,186
본즈 앤 올,끝내 하나가 되려는 참혹하고도 숭고한 사랑이 핏빛 낭만으로 일렁인다.,4.0,529
요정,"어디선가 그런 부부가 실제 살아가고 있을 것 같고, 그들에게 정말 그런 일이 있었을 것 같다.",3.0,89
탄생,조선 천주교의 초기 역사가 파란만장하다.,2.5,92
"그 겨울, 나는",권다함과 권소현의 향후 활약을 보고 싶다.,3.0,120
기예르모 델토로의 피노키오,참혹한 시대의 그늘에서 동화는 도피처가 아니라 참호다.,4.0,707
